topicID,topic_terms,terms_relevance
1,tener,0.05756956338882446
1,cuidado,0.0574616976082325
1,zona,0.05745479464530945
1,transitar,0.05744226649403572
1,recomendar,0.05739262327551842
1,transitar_zona,0.05737781897187233
1,cuidado_transitar,0.05737261474132538
1,recomendar_tener,0.05737205222249031
1,tener_cuidado,0.057372044771909714
1,tener_cuidado_transitar,0.05737098678946495
1,recomendar_tener_cuidado,0.057370979338884354
1,cuidado_transitar_zona,0.05737097188830376
1,reportado,0.056662239134311676
1,reportado_recomendar_tener,0.056570786982774734
1,reportado_recomendar,0.05657077953219414
1,obregon,0.04844389855861664
1,alvaro,0.04507649689912796
1,alvaro_obregon,0.04442771151661873
1,reportar_recomendar,0.000791801605373621
1,reportar_recomendar_tener,0.0007918014889582992
1,reportar,0.0007301584118977189
1,obregon_reportado,0.0002455931971780956
1,obregon_reportado_recomendar,0.0002406823477940634
1,cuauhtemoc_reportado_recomendar,0.0001629149483051151
1,cuauhtemoc_reportado,0.00016290701751131564
1,rio,1.3509853488358203e-05
1,san,1.330100349150598e-05
1,madero_reportado,1.329027691099327e-05
1,madero_reportado_recomendar,1.3290244169184007e-05
1,pedregal,1.0004291652876418e-05
2,av,0.04412374645471573
2,carril,0.031791120767593384
2,eje,0.02742190472781658
2,alcaldía,0.024711312726140022
2,sur,0.02240605279803276
2,altura,0.022362105548381805
2,lento,0.017424162477254868
2,norte,0.016805849969387054
2,tlalpan,0.01680581457912922
2,call,0.015353430993855
2,central,0.014555963687598705
2,cerrar,0.013642817735671997
2,carranza,0.013608941808342934
2,circuito,0.013204707764089108
2,venustiano,0.012954545207321644
2,venustiano_carranza,0.012855694629251957
2,interior,0.012802718207240105
2,dirección,0.01213737390935421
2,cuauhtemoc,0.011905019171535969
2,insurgente,0.010937544517219067
2,circuito_interior,0.01061564777046442
2,periférico,0.010547313839197159
2,obra,0.010146794840693474
2,oriente,0.009892766363918781
2,afectado,0.009369815699756145
2,col,0.00920671783387661
2,lateral,0.009072870016098022
2,río,0.008925341069698334
2,hacia,0.00882276613265276
2,viaducto,0.008259902708232403
3,hidalgo,0.12993480265140533
3,miguel,0.1269586682319641
3,miguel_hidalgo,0.09273563325405121
3,sección,0.04396175593137741
3,chapultepec,0.028316179290413857
3,atender,0.02395666390657425
3,sección_miguel_hidalgo,0.019729845225811005
3,sección_miguel,0.019729845225811005
3,tlalpan,0.017945488914847374
3,donado,0.016946598887443542
3,donado_aportación,0.016893165186047554
3,aportación,0.016891902312636375
3,loma,0.015591670759022236
3,chapultepec_sección,0.015452609397470951
3,sección_hidalgo,0.015245064161717892
3,reforma,0.014511916786432266
3,hidalgo_reportado,0.014256522059440613
3,hidalgo_reportado_recomendar,0.01425651554018259
3,hidalgo_donado,0.013779045082628727
3,hidalgo_donado_aportación,0.013779045082628727
3,bosque,0.012703146785497665
3,san_miguel,0.012575503438711166
3,mexico,0.011427461169660091
3,lago,0.010070535354316235
3,alemán,0.009617540054023266
3,san,0.009359568357467651
3,cuajimalpa,0.009036135859787464
3,av,0.008987138979136944
3,periférico,0.00881609134376049
3,chapultepec_sección_miguel,0.008618189953267574
4,atender,0.06913218647241592
4,evitar,0.04409245774149895
4,vehículo,0.04337679222226143
4,vialidad,0.042270638048648834
4,dirección,0.04195699468255043
4,evitar_vialidad,0.040315207093954086
4,atender_evitar,0.040315013378858566
4,vehículo_atender_evitar,0.04030498117208481
4,vehículo_atender,0.04030496999621391
4,atender_evitar_vialidad,0.040304891765117645
4,herido,0.03173293545842171
4,laborar,0.02936604619026184
4,paciente,0.026950204744935036
4,laborar_atender,0.026906756684184074
4,atender_paciente_herido,0.026896754279732704
4,atender_paciente,0.026896754279732704
4,laborar_atender_paciente,0.026896750554442406
4,paciente_herido,0.026896735653281212
4,san,0.009575092233717442
4,dirección_vehículo,0.008659260347485542
4,dirección_vehículo_atender,0.00865925569087267
4,reporte,0.008035058155655861
4,recibir,0.0077514383010566235
4,informado,0.007687699515372515
4,verificar,0.007520437240600586
4,mantener,0.007474054582417011
4,recibir_reporte,0.007456077262759209
4,ciudadanía,0.007436190266162157
4,situación,0.00740503054112196
4,verificar_situación,0.007215871941298246
5,cuidado,0.06211129203438759
5,ten,0.060466233640909195
5,ten_cuidado,0.06023738160729408
5,velocidad,0.04003886505961418
5,disminuir,0.03826235979795456
5,disminuir_velocidad,0.03767867386341095
5,atendido,0.03717377781867981
5,transitar,0.036184780299663544
5,cuidado_disminuir,0.03609689697623253
5,atendido_ten_cuidado,0.03609687089920044
5,atendido_ten,0.03609684482216835
5,cuidado_disminuir_velocidad,0.036096829921007156
5,ten_cuidado_disminuir,0.03609682619571686
5,encontrarás,0.035333748906850815
5,encontrarás_atendido,0.035131119191646576
5,encontrarás_atendido_ten,0.035078391432762146
5,ayudar,0.027974683791399002
5,lugar,0.024359354749321938
5,pasar,0.024266518652439117
5,ten_cuidado_pasar,0.024138454347848892
5,cuidado_pasar,0.024138452485203743
5,cuidado_pasar_lugar,0.0241384319961071
5,pasar_lugar,0.02409830316901207
5,habitación,0.00850837491452694
5,transitar_encontrarás,0.008314657025039196
5,transitar_encontrarás_atendido,0.008314657025039196
5,casa_habitación,0.008122740313410759
5,san,0.0074307722970843315
5,madero,0.006342762615531683
5,av,0.0059693059884011745
6,tlalpan,0.04399903863668442
6,call,0.043992605060338974
6,todo,0.03981123864650726
6,call_tlalpan,0.031629469245672226
6,cargar,0.023314740508794785
6,velocidad,0.022915057837963104
6,peligro,0.02186504751443863
6,autopisto,0.021375978365540504
6,constante,0.02105245180428028
6,circulacion,0.0206424780189991
6,noche,0.020295077934861183
6,bj,0.020099623128771782
6,camión,0.01963350549340248
6,todo_noche,0.018869806081056595
6,sur-norte,0.018130527809262276
6,todo_velocidad,0.018097946420311928
6,inminente,0.01799861714243889
6,nativas,0.01791762001812458
6,nativas_bj,0.01766950450837612
6,bj_sur-norte_peligro,0.017619865015149117
6,nativas_bj_sur-norte,0.01761985942721367
6,bj_sur-norte,0.017619851976633072
6,noche_todo_velocidad,0.017619851976633072
6,sur-norte_peligro,0.017619840800762177
6,tlalpan_nativas_bj,0.017619840800762177
6,noche_todo,0.017619840800762177
6,tlalpan_nativas,0.017619825899600983
6,call_tlalpan_nativas,0.017619825899600983
6,todo_noche_todo,0.017619822174310684
6,puerto,0.01711386814713478
7,hacer,0.02001376636326313
7,reglamento,0.01862204074859619
7,calle,0.017086559906601906
7,accidente,0.014376386068761349
7,carril,0.013568292371928692
7,poder,0.012978187762200832
7,día,0.011318229138851166
7,vehículo,0.01068871095776558
7,si,0.009858907200396061
7,tlalpan,0.009815308265388012
7,estacionado,0.0096731660887599
7,policía,0.00801054947078228
7,apoyo,0.007901826873421669
7,ir,0.007582169026136398
7,auto,0.007300856988877058
7,solicitar,0.007135825697332621
7,camión,0.007060261443257332
7,dar,0.007058962248265743
7,colonia,0.006828681565821171
7,cdmx,0.006575990468263626
7,buen,0.006490684114396572
7,reportar,0.006428997963666916
7,solo,0.006411162205040455
7,ver,0.006165230181068182
7,reporte,0.006112729199230671
7,quemar,0.00609603663906455
7,transito,0.005927886348217726
7,obstruir,0.005804601591080427
7,persona,0.005794689059257507
7,favor,0.00574866496026516
8,servicio,0.049302369356155396
8,juarez,0.04126030206680298
8,colonia,0.03893072530627251
8,benito,0.03587109223008156
8,benito_juarez,0.03554825857281685
8,emergencia,0.0310355257242918
8,emergencio,0.028757313266396523
8,san,0.0264388807117939
8,alcaldía,0.02600260078907013
8,servicio_emergencio,0.022485872730612755
8,servicio_emergencia,0.021700700744986534
8,col,0.02085692621767521
8,laborar,0.018027206882834435
8,santa,0.01327911950647831
8,av,0.012540403753519058
8,trabajar,0.012451591901481152
8,lugar,0.011554001830518246
8,alcaldía_benito,0.010523022152483463
8,alcaldía_benito_juarez,0.010446134023368359
8,acudir,0.0100637748837471
8,calle,0.010062865912914276
8,pastizal,0.009439886547625065
8,dirigir,0.008382726460695267
8,reportar,0.008250548504292965
8,juan,0.007441606838256121
8,maría,0.007348957005888224
8,colonia_san,0.007252863142639399
8,iztapalapa,0.007233156356960535
8,vehículo,0.007149314973503351
8,emergencia_trabajar,0.0070991432294249535
9,alvaro_obregon,0.3335624039173126
9,alvaro,0.318020761013031
9,obregon,0.25808796286582947
9,alcaldía_alvaro,0.015123916789889336
9,alcaldía_alvaro_obregon,0.015009948052465916
9,quiroga,0.008997469209134579
9,vasco,0.008862337097525597
9,vasco_quiroga,0.008775199763476849
9,sierro,0.005786614958196878
9,prolongación,0.004483863245695829
9,av_javier,0.003521362319588661
9,javier,0.002899766666814685
9,cuidado,0.0015527851646766067
9,obra_av,0.0013947153929620981
9,zona,0.0009572728886269033
9,paseo_reforma,0.000888562819454819
9,alvaro_obregon_permanecer,0.0007185384165495634
9,obregon_permanecer,0.0007185384165495634
9,obregon_permanecer_carril,0.0007185384165495634
9,transitar,0.0007016508607193828
9,fe,0.0006299162632785738
9,reportado,0.0004087116976734251
9,ambos,0.00038843738730065525
9,reportado_recomendar,0.0003632916195783764
9,reportado_recomendar_tener,0.0003631848085206002
9,reforma,0.0003560833865776658
9,paseo,0.0003376464592292905
9,alcaldía,0.0002858829393517226
9,tener,0.0002433660120004788
9,av,0.00023344387591350824
10,debido,0.08006589859724045
10,personal,0.06980983912944794
10,auxiliar,0.06451145559549332
10,paciente,0.06321375072002411
10,personal_auxiliar,0.06276767700910568
10,auxiliar_paciente,0.06276767700910568
10,personal_auxiliar_paciente,0.0627676472067833
10,ciudad,0.03579014539718628
10,méxico,0.0338619165122509
10,ciudad_méxico,0.03222218528389931
10,reglamento,0.020719332620501518
10,cambio,0.019980179145932198
10,programa,0.017573194578289986
10,reglamento_ciudad,0.017557306215167046
10,reglamento_ciudad_méxico,0.01728340983390808
10,consulta,0.016836732625961304
10,cambio_reglamento,0.016562948003411293
10,cambio_reglamento_ciudad,0.01620948687195778
10,consulta_cambio,0.016209451481699944
10,consulta_cambio_reglamento,0.0162094384431839
10,auxiliar_paciente_debido,0.0135121438652277
10,paciente_debido,0.013512137345969677
10,operación,0.012461255304515362
10,méxico_operación_programa,0.011913414113223553
10,operación_programa,0.011913391761481762
10,ciudad_méxico_operación,0.011913381516933441
10,méxico_operación,0.011913367547094822
10,madero,0.011623652651906013
10,alcaldía_gustavo,0.011315309442579746
10,alcaldía_gustavo_madero,0.011211867444217205
11,atender,0.052638083696365356
11,donado,0.04122030362486839
11,aportación,0.041054386645555496
11,donado_aportación,0.04099274426698685
11,bombero,0.04038664698600769
11,alcaldía,0.025370480492711067
11,madero,0.018276089802384377
11,reportar,0.017395878210663795
11,iztapalapa,0.014512636698782444
11,colonia,0.01419037114828825
11,doble,0.014086713083088398
11,azcapotzalco,0.014011206105351448
11,doble_fila,0.013575199991464615
11,xochimilco,0.013459492474794388
11,cuauhtemoc,0.01289073470979929
11,cuerpo,0.01212400570511818
11,registrar,0.01200147531926632
11,cdmx,0.011434958316385746
11,atender_donado_aportación,0.011369692161679268
11,atender_donado,0.011369692161679268
11,consumir,0.011339990422129631
11,fuerte,0.011283301748335361
11,san,0.011072184890508652
11,fila,0.010784797370433807
11,sofocar,0.010485595092177391
11,ubicado,0.010099493898451328
11,controlar,0.00973100308328867
11,av,0.00960690900683403
11,gustavo,0.009339339099824429
11,gustavo_madero,0.009004227817058563
12,precaución,0.06311541050672531
12,pasar,0.06305963546037674
12,extremo,0.062042415142059326
12,lugar,0.06178208068013191
12,extremo_precaución,0.061296653002500534
12,pasar_lugar,0.06110913306474686
12,precaución_pasar,0.06105456501245499
12,precaución_pasar_lugar,0.061040740460157394
12,extremo_precaución_pasar,0.061040740460157394
12,atender,0.06089102104306221
12,av,0.015185404568910599
12,atender_extremo_precaución,0.012924767099320889
12,atender_extremo,0.012924767099320889
12,carril_libre,0.011811633594334126
12,libre,0.010763265192508698
12,permanecer_carril,0.010728200897574425
12,permanecer_carril_libre,0.010602181777358055
12,hidalgo_extremo,0.009017632342875004
12,hidalgo_extremo_precaución,0.009017632342875004
12,permanecer,0.008471748791635036
12,san,0.006850999779999256
12,atender_av,0.006570714525878429
12,obra,0.0063940309919416904
12,madero,0.006180259399116039
12,madero_extremo_precaución,0.006034119985997677
12,madero_extremo,0.006034119985997677
12,obregon_permanecer,0.005744584370404482
12,obregon_permanecer_carril,0.005744584370404482
12,alvaro_obregon_permanecer,0.005744584370404482
12,obregon_extremo,0.0055945999920368195
