munID,munName,geoPointLong,geoPointLat
2,Azcapotzalco,19.4853286147,-99.1821069423
3,Coyoacán,19.3266672536,-99.1503763525
4,Coajimalpa de Morelos,19.3246343001,-99.3107285253
5,Gustavo A. Madero,19.5040652077,-99.1158642087
6,Iztacalco,19.396911897,-99.094329797
7,Iztapalapa,19.3491663204,-99.0567989642
8,La Magdalena Contreras,19.2689765031,-99.2684129061
9,Milpa Alta,19.1394565999,-99.0510954218
10,Álvaro Obregón,19.336175562,-99.246819712
11,Tláhuac,19.2769983772,-99.0028216137
12,Tlalpan,19.1983396763,-99.2062207957
13,Xochimilco,19.2451450458,-99.0903636045
14,Benito Juárez,19.3806424162,-99.1611346584
15,Cuauhtémoc,19.4313734294,-99.1490557562
16,Miguel Hidalgo,19.4280623649,-99.2045669144
17,Venustiano Carranza,19.4304954545,-99.0931057959
